Platform Dependency,1500,3,"Specific platforms often are helped by designing specifically to take advantage of that platform's strengths.  In this project you will be creating a game that takes specific advantage of what your chosen platform does best, while minimizing what it does poorly.","Take an Existing project or create a new one|Choose a desired platform (Desktop, Mobile, Web)|Tailor the Gameplay and visuals of the game to take advantage of the strengths the platform offers (Input types, graphics power, 3rd party support, etc)"
The RPG,2500,5,"The Role playing game can be one of the most difficult gameplay systems to implement, due to the sheer amount of data that must be entered.  In this project, you will be developing a simple RPG that demonstrates some of the unique features that define the genre","Take an Existing project or create a new one|Gameplay should allow for the growth in skills and abilities of the central mechanic (player, vehicle, powers, etc)|The player should have choices in how they wish to advance their gameplay|Players should be able to make different choices and still be able to complete the core objectives."
Networking,2500,5,"Networking and Online features are both straightforward and complex.  Unity provides some built in features, but the real power comes in building your own.  In this project you will create a game that connects to the web and/or other computers.",Take an Existing project or create a new one|Create a scene where you can participate in gameplay with other players using Unity's built in replication system|Create a gameplay system where your game requests data from an external website|Create a .Net Socket based solution for pinging other computers playing your game|Build and distribute your game for testing
Character Development,3000,6,"Character development is often seen as a holy grail of good storytelling.  In this project you will be developing a short game that through gameplay, visuals, and dialog advances a single character through a narrative arc.",Take an Existing project or create a new one|Design an NPC or Player Character that will be the focus of the development|That character must have a defined 3 act structure to their development|At the end of their development they should have grown or changed as a character based on the occurrences during the game
Player Learning,3000,6,"Player Learning can be defined by the ability to instruct the player towards a set information goal.  This can be how to use an ability, where objectives are often location, or even narrative concepts.  In this project you will be creating a set of gameplay scenes that teach the player a set of core concepts vital for the game.","Take an Existing project or create a new one|Take at least 3 core mechanics or gameplay concepts and design player learning experiences for them|Each experience should gradually release responsibility to the player for the material, starting with obvious visual or mechanical clues and ending with exam systems to test the player's knowledge"
Linear,3500,7,"A directed gameplay experience is sometimes exactly what a narrative calls for.  In this project you will be designing a gameplay experience that pulls the player through a set of sequential objectives, each building upon the others.",Create a Unity Game (Project build to Platform)|A set of defined objectives that must be completed by the player in a set order|Good utilization of pulls to attempt to limit the player's knowledge of the linearity of the objectives.
Educational/Serious Games,3500,7,"Learning?! In a game?!  WTF!!!?!?  Well get used to it!  If it's called gamification, tangential learning, or something else, games whose goal is the transmission of information to the player is becoming a fact in today's life.  In this project, you will explore the possibilities and limitations of trying to inform the player through a game.",Create a Unity Game (Project build to Platform)|Choose a topic or concept that you want to try and inform the player about|At least part of the information should be communicated through the gameplay and not text or visuals.
Multiplayer,4000,8,Playing a game together can be an incredibly powerful experience.  In this project you will be exploring what multiplayer gameplay does to game design and the dynamics of gameplay.,Create a Unity Game (Project build to Platform)|The multiplayer can be Offline(multiple controllers) or Online|Gameplay should be focused on bringing out the most of what Multiplayer has to offer.
Non Linear,4000,8,"Playing a game is often shown as a series of choices, or overcoming of voluntary obstacles.  However, these choices need not be in a pre-defined order or sequence.  This project will explore the ability to pull the player through a game, but allowing that player to choose the order in which they proceed.","Create a Unity Game (Project build to Platform)|Given a series of Objectives, the player must be able to complete these objectives in an order that they decide.|This is not sandbox (no objective)"
Gameplay as a Metaphor,4500,9,"The players actions often give rise to additional meaning.  Does the killing of unarmed civilians have a significance, or is it just for show?  What does the game telling us without dialog or text.","Create a Unity Game (Project build to Platform)|Visuals must be minimalistic at most (basic shapes, colors)|No text or dialog can be used"
Procedural Generation,4500,9,Procedural Generation of content is a huge market possibility today.  This project is to explore the possibilities and limits of procedural generated content.,"Create a Unity Game (Project build to Platform)|Gameplay must contain procedurally generated content, which can include terrain, characters, gameplay, abilities, or anything else you can describe|Must be a full circle game (menu => game => menu)"
Elder God,5000,10,"Upon the highest mountaintop lies the ultimate evil.  Over the long months it has been slumbering, but it awakes now to wreck it's horrors upon the land!  It will take all your skills and abilities that have been acquired to this date in order to defeat this monstrosity!",Must be a full Unity Game (Installer)|Must be a full circle game (menu => game => menu)|Must showcase this in class|Ready to showcase to IEEE GameSig competition
